shop_id,shop_name,good_summary,last_updated
21047748,老胡同(热气羊肉羊蝎子火锅),"肉类不错(394),羊肉不错(344),口味不错(511),服务热情(407),海鲜不错(149),环境不错(158),份量足(36),羊肉新鲜(29)",2016-01-05 22:30:57
shop_id,shop_name,good_summary,last_updated
22651874,嗨起来蒸汽石锅鱼,"海鲜不错(90),汤羹煲不错(25),口味不错(98),服务热情(88),性价比较高(13),食材不错(13),肉类不错(11),饮品不错(5)",2016-01-05 22:38:18
9964442,重庆高老九火锅(人民广场店),"肉类不错(1102),口味不错(3068),食材不错(803),服务热情(2026),海鲜不错(716),食材新鲜(473),环境不错(1053),禽肉不错(577)",2016-01-05 22:38:20
9359347,四川香天下火锅(天山店),"肉类不错(387),口味不错(1113),食材新鲜(200),服务热情(436),食材不错(294),环境不错(300),禽肉不错(179),牛肉不错(113)",2016-01-05 22:38:24
9334265,洞子张老匠火锅(八佰伴店),"肉类不错(405),口味不错(1259),服务热情(677),食材新鲜(148),环境不错(322),食材不错(229),性价比较高(285),禽肉不错(212)",2016-01-05 22:38:28
9039237,米哲锅物专门店,"肉类不错(810),牛肉不错(454),服务热情(1112),口味不错(1070),性价比较高(441),食材不错(359),海鲜不错(308),点心不错(304)",2016-01-05 22:38:32
9029614,辣府(打浦店),"食材新鲜(161),口味不错(801),肉类不错(319),服务热情(415),食材不错(269),环境不错(399),牛肉不错(176),海鲜不错(102)",2016-01-05 22:38:37
8939866,鼎王无老锅(金汇店),"点心不错(189),服务热情(543),肉类不错(161),口味不错(462),食材不错(145),环境不错(309),锅底不错(121),食材新鲜(72)",2016-01-05 22:38:41
8935000,上海虾满堂(定西路店),"海鲜不错(467),口味不错(489),肉类不错(124),服务热情(136),环境不错(123),羊肉不错(61),性价比较高(38),饮品不错(27)",2016-01-05 22:38:45
8905535,上上谦串串香火锅(徐汇旗舰店),"肉类不错(603),口味不错(1778),环境不错(1003),食材不错(402),服务热情(873),牛肉不错(384),食材新鲜(217),海鲜不错(356)",2016-01-05 22:38:47
8898289,溪雨观酸菜鱼(云山路店),"海鲜不错(503),口味不错(759),性价比较高(437),汤羹煲不错(76),服务热情(398),环境不错(227),份量足(46),点心不错(57)",2016-01-05 22:38:51
8845597,小辉哥火锅(正大广场店),"食材新鲜(404),肉类不错(639),口味不错(1291),食材不错(621),服务热情(697),环境不错(697),牛肉不错(385),海鲜不错(289)",2016-01-05 22:38:54
8844957,洋房火锅(新天地店),"食材新鲜(113),食材不错(182),服务热情(289),肉类不错(146),环境不错(252),口味不错(188),海鲜不错(110),牛肉不错(108)",2016-01-05 22:38:59
